"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"LEVOCETIRIZINE 5 mg (Xyzall)";"Comprimé";"R06AE09";"Antihistaminiques à usage systémique";"Dérivés de la pipérazine";;"NE";"RCP";;;"Non";;"UCB Pharma 24-02-2022 : écrasement déconseillé car pas d'étude. ";"18/04/2023";
"LEVODOPA / BENSERAZIDE 50/12,5 ; 100/25 et 200/50 mg (Modopar)";"Gélule";"N04BA02";"Dopaminergiques";"Dopa et dérivés";;"NO";"RCP";"Ouvrable selon HUG 03/2023";;"Comprimés dispersibles";"A prendre ? 30 min avant les repas ou ? 2h après.";;"18/04/2023";
"LEVODOPA / BENSERAZIDE LP 100/25 mg (Modopar LP)";"Gélule LP";"N04BA02";"Dopaminergiques";"Dopa et dérivés";;"NO";"RCP";;;"? Non LP ?
Comprimés dispersibles";"A prendre ? 30 min avant les repas ou ? 2h après.";;"09/11/2023";
"LEVODOPA / CARBIDOPA / ENTACAPONE tous dosages (Stalevo)";"Comprimé";"N04BA03";"Dopaminergiques";"Dopa et dérivés";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";"Notice patient : ne pas écraser";;"18/04/2023";
"LEVODOPA / CARBIDOPA 100/10 et 250/25 mg (Sinemet)";"Comprimé ";"N04BA02";"Dopaminergiques";"Dopa et dérivés";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Gel intestinal (pour stades avancés)";"A prendre en fin de repas, ou avec un peu de nourriture.";;"18/04/2023";
"LEVODOPA / CARBIDOPA LP 100/25 et 200/50 mg (Sinemet LP)";"Comprimé LP";"N04BA02";"Dopaminergiques";"Dopa et dérivés";;"NE";"RCP";;;"? Non LP ?
Gel intestinal (pour stades avancés)";"A prendre en début de repas, ou avec un peu de nourriture.";;"18/04/2023";
"LEVOFLOXACINE 500 mg (Tavanic)";"Comprimé sécable";"J01MA12";"Quinolones antibactériennes";"Fluoroquinolones";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à distance (? 2h) des sels de fer, d'antiacides et de sucralfate qui peuvent diminuer l'absorption.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LEVOMEPROMAZINE 25 et 100 mg (Nozinan)";"Comprimé sécable";"N05AA02";"Antipsychotiques";"Phénothiazines à chaîne latérale aliphatique";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable en gouttes";"A prendre le soir ou à répartir en 3 prises au moment des repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LEVOTHYROXINE 25, 50, 75, 100, 125, 150, 175 et 200 µg (L-Thyroxin)";"Comprimé sécable";"H03AA01";"Préparations thyroïdiennes";"Hormones thyroïdiennes";;"D";"RCP";;"E, V";"Solution buvable en gouttes";"Peut être dissout sans l'écraser dans 10-15 mL d'eau jusqu'à obtenir une suspension, à administrer immédiatement avec un peu d'eau supplémentaire. A prendre le matin à jeun ? 30 min avant les repas. ";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LEVOTHYROXINE 25, 50, 75, 88, 100, 112, 125, 137, 150, 175 et 200 µg (Levothyrox) ";"Comprimé sécable";"H03AA01";"Préparations thyroïdiennes";"Hormones thyroïdiennes";;"E";"Réponse laboratoire";;"E, V";"Solution buvable en gouttes";" A prendre le matin à jeun.";"Merck 07-05-2025 : écrasement possible, à dissoudre dans 5 à 10mL d'eau, pas d'étude de stabilité, à boire immédiatement";"12/05/2025";
"LINEZOLIDE 600 mg (Zyvoxid)";"Comprimé";"J01XX08";"Autres antibactériens";"Autres antibactériens";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Granulés pour suspension buvable";;"En attente (Pfizer)";"18/04/2023";
"LIOTHYRONINE 0,025 mg (Cynomel)";"Comprimé sécable";"H03AA02";"Préparations thyroïdiennes";"Hormones thyroïdiennes";;"NE";"Réponse laboratoire";;;"Non";"A prendre le matin à jeun.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LISINOPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (Zestoretic)";"Comprimé sécable";"C09BA03";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence à heure fixe.";;"18/04/2023";
"LISINOPRIL 5 et 20 mg (Zestril)";"Comprimé ou comprimé sécable";"C09AA03";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";;"18/04/2023";
"LITHIUM 250 mg (Teralithe)";"Comprimé sécable";"N05AN01";"Antipsychotiques";"Lithium";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";"E";"Non";"A prendre pendant les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LITHIUM LP 400 mg (Teralithe LP)";"Comprimé sécable LP";"N05AN01";"Antipsychotiques";"Lithium";;"NE";"RCP";;;"? Non LP ?
Lithium 250 mg écrasable";"A prendre le soir vers 20h pendant les repas.";;"18/04/2023";
"LOPERAMIDE 2 mg (Diaretyl)";"Gélule";"A07DA03";"Antipropulsivants";"Antipropulsivants";;"NO";"Réponse laboratoire";;;"Comprimés orodispersibles, solution buvable";;"Janssen 09-03-2022 : écrasement déconseillé car pas d'étude";"19/09/2023";
"LOPINAVIR / RITONAVIR 100/25 et 200/50 mg (Kaletra)";"Comprimé";"J05AR10";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";"G";"NE";"RCP";;;"Solution buvable";"Eviter le jus de pamplemousse.";;"18/04/2023";
"LOPRAZOLAM 1 mg (Havlane)";"Comprimé sécable";"N05CD11";"Hypnotiques et sédatifs";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";;;"Non";"A prendre avant le coucher.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LORATADINE 10 mg (Clarityne)";"Comprimé";"R06AX13";"Antihistaminiques à usage systémique";"Autres antihistaminiques à usage systémique";;"NE";"Réponse laboratoire";;;"Non";;"Bayer 19-08-2020 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"LORAZEPAM 1 et 2,5 mg (Temesta)";"Comprimé sécable";"N05BA06";"Anxiolytiques";"Dérivés des benzodiazépines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"Neuraxpharm 22-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LORMETAZEPAM 1 et 2 mg (Noctamide)";"Comprimé sécable";"N05CD06";"Hypnotiques et sédatifs";"Dérivés des benzodiazépines";;"E";"Réponse laboratoire";;"E";"Non";"A prendre avant le coucher.";"Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.";"18/04/2023";
"LOSARTAN / HYDROCHLOROTHIAZIDE 50/12,5 ; 100/12,5 et 100/25 mg (Hyzaar, Fortzaar)";"Comprimé";"C09DA01";"Antagonistes de l'angiotensine II en associations";"Antagonistes de l'angiotensine II et diurétiques";;"NE";"RCP";;;"Non";"A prendre à heure fixe.";"Organon 30-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"LOSARTAN 50 et 100 mg (Cozaar)";"Comprimé";"C09CA01";"Antagonistes de l'angiotensine II non associés";"Antagonistes de l'angiotensine II non associés";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";"E, V";"Non";"A prendre à heure fixe.";;"18/04/2023";
"LOXAPINE 25, 50 et 100 mg (Loxapac)";"Comprimé";"N05AH01";"Antipsychotiques";"Diazépines, oxazépines, thiazépines et oxépines";;"NE";"RCP";;;"Solution buvable";"A prendre en une seule prise le soir ou à répartir au cours de la journée.";"Laboratoires Eisai 11-03-2022 : ne pas écraser les comprimés";"18/04/2023";
"MAGNESIUM / PYRIDOXINE 48/5 mg (Magne B6)";"Comprimé";"A12CC06";"Autres compléments minéraux";"Magnésium";;"NE";"Thériaque 03/2023";;;"Solution buvable (Spasmag)";;;"18/04/2023";
"MAGNESIUM 100 mg (Mag 2)";"Comprimé";"A12CC08";"Autres compléments minéraux";"Magnésium";;"NE";"Réponse laboratoire";;;"Solution buvable, poudre pour solution buvable";;"Cooper 22-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"MANIDIPINE 10 et 20 mg (Iperten)";"Comprimé";"C08CA11";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NE";"RCP";;;"Non";"A prendre le matin après le petit-déjeuner. Eviter le jus de pamplemousse.";;"18/04/2023";
"MAPROTILINE 25 et 75 mg (Ludiomil)";"Comprimé ou comprimé sécable";"N06AA21";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";;"?";;;;"Non";;"En attente (Centre de Specialites Pharmaceutiques)";"18/04/2023";
"MARAVIROC 25, 75, 150 et 300 mg (Celsentri)";"Comprimé";"J05AX09";"Antiviraux à action directe";"Autres antiviraux";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable";"Eviter le jus de pamplemousse.";"GSK 20-03-2023 : écrasement déconseillé car pas d'étude";"18/04/2023";
"MEBEVERINE 100 et 200 mg (Duspatalin)";"Gélule";"A03AA04";"Médicaments en cas de troubles fonctionnels gastro-intestinaux";"Anticholinergiques synthétiques, esters d'amines tertiaires";;"O, NE";"Réponse laboratoire";"Ouvrable selon HUG 03/2023";;"Non";"A prendre avant les repas. La gélule assure une libération prolongée.";"Viatris 17-02-2023 : L'ouverture des gélules est possible. Ne pas écraser les microgranules. ";"18/04/2023";
"MEBEVERINE 200 mg (génériques)";"Comprimé";"A03AA04";"Médicaments en cas de troubles fonctionnels gastro-intestinaux";"Anticholinergiques synthétiques, esters d'amines tertiaires";;"NE";"Réponse laboratoire";;;"Non";"A prendre avant les repas.";"Zentiva 17-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"MEFLOQUINE 250 mg (Lariam)";"Comprimé sécable";"P01BC02";"Antipaludéens";"Alcaloïdes de la quinine";"G";"E";"RCP";;"E";"Non";"Peut être écrasé et dissout dans l'eau pour administration immédiate. Goût amer. Eviter le jus de pamplemousse.";"Cheplapharm 14-03-2022 : cf. RCP";"18/04/2023";
"MEGESTROL 160 mg (Megace)";"Comprimé";"L02AB01";"Hormones et apparentés";"Progestatifs";;"?";;;;"Non";"PA cytotoxique.";"En attente (contacter Bausch Health Ireland Limited)";"18/04/2023";
"MELATONINE 1mg gélule (préparation hospitalière)";"Gélule";"N05CH01";"Psycholeptiques";"Psycholeptiques";;"O";"Réponse laboratoire";;;"Solution buvable (préparation)";"La mélatonine n'est pas hydrosoluble ";"Centre Lab 12-12-2023 : Les gélules peuvent être ouvertes pour récupérer la poudre. La mélatonine n’est pas hydrosoluble : mettre le contenu en suspension dans une compote ou yaourt brassé.
";"14/12/2023";
"MELOXICAM 7,5 et 15 mg (Mobic)";"Comprimé ou comprimé sécable";"M01AC06";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Oxicams";;"NE";"Réponse laboratoire";;;"Non";"A prendre pendant le repas.";"Boehringer Ingelheim 24-02-2022 : Les comprimés se délitent facilement en bouche";"18/04/2023";
"MELPHALAN 2 mg (Alkeran)";"Comprimé";"L01AA03";"Alkylants";"Analogues des moutardes azotées ";;"NE";"Réponse laboratoire";;;"Non";"PA cytotoxique. A prendre de préférence 15-30 min avant les repas pour une absorption optimale.";"ASPEN Pharma 22-02-2022 : non-écrasable car cytotoxique. Molécule instable en solution, à ne pas administrer avec de la nourriture.";"18/04/2023";
"MEMANTINE 10 et 20 mg (Ebixa)";"Comprimé ou comprimé sécable";"N06DX01";"Médicaments contre la démence";"Autres médicaments contre la démence";"G";"E";"Réponse laboratoire";;"E, V";"Solution buvable";"A prendre à heure fixe.";"Lundbeck 14-03-2022 : Pas d'étude de stabilité mais écrasement et dissolution possible dans l'eau si administration immédiate. Goût amer.";"18/04/2023";
"MEQUITAZINE 5 et 10 mg (Primalan)";"Comprimé sécable";"R06AD07";"Antihistaminiques à usage systémique";"Dérivés de la phénothiazine";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le soir (effet sédatif).";"Pierre Fabre 21-02-2022 : risque d'oxydation si écrasement.";"18/04/2023";
"MERCAPTOPURINE 50 mg (Purinethol)";"Comprimé sécable";"L01BB02";"Antimétabolites";"Analogues de la purine";;"NE";"Notice patient";;;"Suspension buvable";"PA cytotoxique. A prendre ? 1h avant ou ? 3h après l'ingestion d'aliments ou de lait.";;"18/04/2023";
"MESALAZINE 250, 400, 500, 800, 1000 et 1600 mg (Rowasa, Fivasa)";"Comprimé GR";"A07EC02";"Anti-inflammatoires intestinaux";"Acide aminosalicylique et  dérivés";;"NE";"Thériaque 03/2023";;;"Granulés, suppositoires (selon indication)";"A prendre pendant les repas en cas de problèmes gastriques. Les suppositoires ou formes rectales n'ont pas forcément les mêmes indications que les formes orales.";"En attente (Tillotts)";"19/09/2023";
"MESNA 400 et 600 mg (Uromitexan)";"Comprimé sécable";"V03AF01";"Tous autres médicaments";"Médicaments détoxifiants dans un traitement cytostatique";;"?";;;;"Non";;"En attente (Baxter)";"18/04/2023";
"METFORMINE 500, 700, 850 et 1000 mg (Glucophage, Stagid)";"Comprimé ou comprimé sécable";"A10BA02";"Hypoglycémiants autres que les insulines";"Biguanides";"G";"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Comprimés dispersibles";;;"18/04/2023";
"METHADONE 1, 5, 20 et 40 mg (Zoryon, Méthadone AP-HP)";"Gélule";"N07BC02";"Médicaments des troubles de l'addiction";"Médicaments en cas de dépendance aux opiacés";;"NO";"Thériaque 03/2023";;;"Sirop";;;"30/06/2023";
"METHOTREXATE 2,5 mg (Novatrex)";"Comprimé";"L01BA01";"Antimétabolites";"Analogues de l'acide folique";;"NE";"Réponse laboratoire";;;"Non";"PA cytotoxique.";"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"METHYLDOPA 250 et 500 mg (Aldomet)";"Comprimé";"C02AB02";"Antiadrénergiques agissant sur le système nerveux central";"Méthyldopa";"G";"E";"Réponse laboratoire";;"E, V";"Non";;"HAC Pharma 22-02-2022 : écrasement possible si besoin, avec administration immédiate et protection appropriée de l'opérateur";"18/04/2023";
"METHYLPHENIDATE 10 mg (Ritaline)";"Comprimé sécable";"N06BA04";"Psychostimulants, agents utilisés dans le trouble déficit de l'attention / hyperactivité (TDAH) et nootropiques";"Sympathomimétiques d'action centrale";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence ? 4h avant le coucher pour éviter les troubles d'endormissement.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"METHYLPHENIDATE LP 10, 20, 30 et 40 mg (Ritaline LP)";"Gélule LP";"N06BA04";"Psychostimulants, agents utilisés dans le trouble déficit de l'attention / hyperactivité (TDAH) et nootropiques";"Sympathomimétiques d'action centrale";;"O, NE";"RCP";;"C, Y, V";"Non";"A prendre le matin. Peut être dispersé dans de la nourriture semi-solide froide (compote, yaourt) et avalé, suivi par la prise d'une boisson. Administration immédiate.";;"19/09/2023";
"METHYLPHENIDATE LP 18, 36 et 54 mg (Concerta LP)";"Comprimé LP";"N06BA04";"Psychostimulants, agents utilisés dans le trouble déficit de l'attention / hyperactivité (TDAH) et nootropiques";"Sympathomimétiques d'action centrale";;"NE";"RCP";;;"Gélules LP ouvrables";"A prendre le matin.";;"18/04/2023";
"METHYLPREDNISOLONE 4, 16 et 100 mg (Medrol)";"Comprimé";"H02AB04";"Corticoïdes à usage systémique non associés";"Glucocorticoïdes";;"NE";"Réponse laboratoire";;;"? Adaptation posologique ? Prednisolone orodispersible";"A prendre pendant les repas.";"Pfizer 04-08-2020 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"METOCLOPRAMIDE 10 mg (Primperan)";"Comprimé sécable";"A03FA01";"Propulsifs";"Propulsifs";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Poudre pour solution buvable, suppositoires sécables";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"METOCLOPRAMIDE LP 15 mg (Prokinyl LP)";"Gélule LP";"A03FA01";"Propulsifs";"Propulsifs";;"NO";"Réponse laboratoire";;;"? Non LP ?
Poudre pour solution buvable, suppositoires sécables";;"Laboratoires Techni-pharma 08-03-2022 : gélule non ouvrable";"18/04/2023";
"METOPIMAZINE 15 mg (Vogalene)";"Gélule";"A04AD05";"Antiémétiques et antinauséeux";"Autres antiémétiques";;"NO";"RCP";;;"Lyophilisat oral, solution buvable, suppositoires";"A prendre de préférence 15 min avant les repas.";;"18/04/2023";
"METOPROLOL / FELODIPINE LP 47,5/5 mg (Logimax LP)";"Comprimé LP";"C07FB02";"Bêta-bloquants, autres associations";"Bêta-bloquants et inhibiteurs du canal de calcium";;"NE";"Galénique";;;"Non";"A prendre le matin à jeun ou après un repas léger.";"Bouchara-Recordati 23-03-2022 : cf. RCP";"18/04/2023";
"METOPROLOL 50 et 100 mg (Seloken)";"Comprimé ou comprimé sécable";"C07AB02";"Bêta-bloquants";"Bêta-bloquants sélectifs";;"NE";"RCP";;;"Non";"A prendre pendant ou en fin de repas.";"Bouchara-Recordati 23-03-2022 : écrasement déconseillé car pas d'étude";"19/09/2023";
"METOPROLOL LP 200 mg (Seloken)";"Comprimé sécable LP";"C07AB02";"Bêta-bloquants";"Bêta-bloquants sélectifs";;"NE";"Notice patient";;;"Non";"A prendre pendant ou en fin de repas, de façon constante.";;"19/09/2023";
"METRONIDAZOLE / SPIRAMYCINE 125 mg/0,75 MUI et 250 mg/1,5 MUI (Rodogyl, Birodogyl)";"Comprimé";"J01RA04";"Antibactériens en association";"Antibactériens en associations";;"NE";"Réponse laboratoire";;;"Non";"A prendre pendant les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"19/09/2023";
"METRONIDAZOLE 250 et 500 mg (Flagyl)";"Comprimé";"P01AB01";"Médicaments contre l'amibiase et autres protozooses";"Dérivés nitro-imidazolés";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Suspension buvable";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"METYRAPONE 250 mg (Metopirone)";"Capsule molle";"V04CD01";"Autres médicaments pour diagnostic";"Test pour la fonction hypophysaire";;"NE";"Réponse laboratoire";;;"Non";"A prendre avec du lait ou après un repas pour minimiser les nausées et vomissements";"HRA Pharma 28-03-2023 : pas d'étude donc écrasement déconseillé.";"18/04/2023";
"MIANSERINE 10, 30 et 60 mg (génériques)";"Comprimé ou comprimé sécable";"N06AX03";"Antidépresseurs";"Autres antidépresseurs";;"NE";"RCP";"Ecrasable selon laboratoire";"E, V";"Non";;"Arrow 15-03-2022 : écrasement déconseillé car effet anesthésiant de la langue, mais possible en cas de besoin si administration immédiate (photosensible).
Biogaran 29-01-2025 : écrasement impossible car pas d'étude";"18/04/2023";
"MIDODRINE 2,5 mg (Gutron)";"Comprimé";"C01CA17";"Cardiotoniques sauf les glycosides cardiotoniques";"Adrénergiques et dopaminergiques";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable en gouttes (AAC)";"A prendre de préférence le matin et au plus tard 4h avant le coucher.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"MIFEPRISTONE 200 et 600 mg (Mifegyne)";"Comprimé";"G03XB01";"Autres hormones sexuelles et modulateurs de la fonction génitale";"Antiprogestatifs";"G";"E";"Réponse laboratoire";;"E, J, L, C, Y";"Non";"Ne pas prendre avec du jus de pamplemousse";"Nordic pharma 14-02-2022 : pas d'étude mais écrasement possible. Mauvais goût, très peu soluble dans l'eau, soluble en milieu acide. Peut être mélangé à un yaourt ou une compote.";"18/04/2023";
"MILNACIPRAN 25 et 50 mg (Ixel)";"Gélule";"N06AX17";"Antidépresseurs";"Autres antidépresseurs";"G";"NO";"Réponse laboratoire";;;"Non";"A prendre de préférence pendant les repas.";"Arrow 15-03-2022 : ouverture déconseillée car pas d'étude + goût amer.";"18/04/2023";
"MINOCYCLINE 100 mg (Mynocine)";"Gélule";"J01AA08";"Tétracyclines";"Tétracyclines";;"NO";"Réponse laboratoire";;;"Non";"A prendre pendant les repas.";"Laboratoire XO 14-02-2022 : écrasement déconseillé en l'absence de données";"18/04/2023";
"MIRTAZAPINE 15 mg (Norset)";"Comprimé ou comprimé sécable";"N06AX11";"Antidépresseurs";"Autres antidépresseurs";;"NE";"RCP";;;"Comprimés orodispersibles";"A prendre de préférence le soir.";;"18/04/2023";
"MISOPROSTOL 25, 200 et 400 µg (Misoone)";"Comprimé ou comprimé sécable";"G02AD06";"Médicaments pour l'ulcère peptidique et le reflux gastro-oesophagien";"Prostaglandines";;"NE";"Notice patient";;;"Non";;;"19/09/2023";
"MITOTANE 500 mg (Lysodren)";"Comprimé sécable";"L01XX23";"Autres antinéoplasiques";"Autres antinéoplasiques";;"NE";"RCP";;;"Non";"A prendre pendant des repas riches en graisses. PA cytotoxique : à manipuler avec des gants jetables.";;"18/04/2023";
"MOCLOBEMIDE 150 mg (Moclamine)";"Comprimé sécable";"N06AG02";"Antidépresseurs";"Inhibiteurs de la monamine oxydase de type A (IMAO-A)";"G";"E";"Réponse laboratoire";;"E, J, L, C, Y";"Non";"A prendre en fin de repas, en évitant les prises trop tardives.";"Biocodex 25-02-2022 : écrasable si besoin mais goût amer. Peut être mélangé à une boisson ou un aliment, mais éviter ceux trop acides par précaution.";"18/04/2023";
"MODAFINIL 100 mg (Modiodal)";"Comprimé";"N06BA07";"Psychostimulants, agents utilisés dans le trouble déficit de l'attention / hyperactivité (TDAH) et nootropiques";"Sympathomimétiques d'action centrale";;"NE";"Réponse laboratoire";;;"Non";;"Teva 01-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"MOLSIDOMINE 2 et 4 mg (Corvasal)";"Comprimé ou comprimé sécable";"C01DX12";"Vasodilatateurs utilisés dans les maladies cardiaques";"Autres vasodilatateurs utilisés dans les maladies cardiaques";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";"A prendre pendant les repas";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"MONTELUKAST 10 mg (Singulair)";"Comprimé";"R03DC03";"Autres médicaments systémiques pour les syndromes obstructifs des voies respiratoires";"Antagonistes des récepteurs des leucotriènes";"G";"E";"Réponse laboratoire";;"E, V";"Comprimés à croquer, granulés";"A prendre le soir.";"MSD 19-09-2020 : Le pelliculage masque le goût amer. Thermosensible et instable dans l'eau. Administration immédiate si écrasement.";"18/04/2023";
"MORPHINE SULFATE 10 et 20 mg (Sevredol)";"Comprimé sécable";"N02AA01";"Opioïdes";"Alcaloïdes naturels de l'opium";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Solution buvable, gélules ouvrables";"Risque d'effets indésirables graves avec les comprimés écrasés.";"Mundipharma 03-08-2020 : écrasement déconseillé car pas d'étude";"18/04/2023";
"MORPHINE SULFATE 5, 10, 20 et 30 mg (Actiskenan)";"Gélule";"N02AA01";"Opioïdes";"Alcaloïdes naturels de l'opium";;"O, NE";"RCP";;"C, Y, V";"Solution buvable";"Peut être dispersé dans un aliment semi-solide (compote, yaourt…). Administration immédiate.";"Mundipharma 03-08-2020 : écrasement déconseillé car pas d'étude";"18/04/2023";
"MORPHINE SULFATE LP 10, 30, 60, 100 et 200 mg (Moscontin LP)";"Comprimé LP";"N02AA01";"Opioïdes";"Alcaloïdes naturels de l'opium";;"NE";"RCP";;;"Gélules LP ouvrables";"Risque d'effets indésirables graves avec les comprimés écrasés.";;"18/04/2023";
"MORPHINE SULFATE LP 10, 30, 60, 100 et 200 mg (Skenan LP)";"Gélule LP";"N02AA01";"Opioïdes";"Alcaloïdes naturels de l'opium";;"O, NE";"RCP";;"C, Y, V";"Pas d'équivalent LP";"Peut être dispersé dans un aliment semi-solide (compote, yaourt…). Administration immédiate.";;"18/04/2023";
"MOXIFLOXACINE 400 mg (Izilox)";"Comprimé";"J01MA14";"Quinolones antibactériennes";"Fluoroquinolones";"G";"NE";"Thériaque 03/2023";"Ecrasable selon laboratoire";;"Non";"A prendre à heure fixe.";"Bayer 21-02-2022 : écrasement possible mais goût amer, peut être mélangé à des aliments semi-liquides";"18/04/2023";
"MOXONIDINE 0,2 et 0,4 mg (Physiotens)";"Comprimé";"C02AC05";"Antiadrénergiques agissant sur le système nerveux central";"Agonistes des récepteurs de l'imidazoline";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence à heure fixe.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"MYCOPHENOLATE 180 et 360 mg (Myfortic)";"Comprimé GR";"L04AA06";"Immunosuppresseurs";"Immunosuppresseurs sélectifs";;"NE";"RCP";;;"Non";"PA tératogène.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"MYCOPHENOLATE 250 mg (Cellcept)";"Gélule";"L04AA06";"Immunosuppresseurs";"Immunosuppresseurs sélectifs";;"NO";"RCP";;;"Non";"PA tératogène.";;"18/04/2023";
"MYCOPHENOLATE 500 mg (Cellcept)";"Comprimé";"L04AA06";"Immunosuppresseurs";"Immunosuppresseurs sélectifs";;"NE";"RCP";;;"Non";"PA tératogène.";;"18/04/2023";
"NABUMETONE 500 mg (Nabucox)";"Comprimé";"M01AX01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Autres anti-inflammatoires antirhumatismaux non stéroïdiens";;"NE";"RCP";;;"Comprimés dispersibles";;;"18/04/2023";
"NADOLOL 80 mg (Corgard)";"Comprimé sécable";"C07AA12";"Bêta-bloquants";"Bêta-bloquants non sélectifs";;"NE";"Notice patient";;;"Non";"A prendre de préférence le matin.";"Cheplapharm 14-03-2022 : cf. RCP";"18/04/2023";
"NAFTIDROFURYL 200 mg (Naftilux)";"Gélule";"C04AX21";"Vasodilatateurs péripheriques";"Autres vasodilatateurs péripheriques";;"NO";"RCP";;;"Non";"A prendre pendant les repas. PA irritant.";"Therabel 25-02-2022 : cf. RCP";"18/04/2023";
"NALOXEGOL 12,5 et 25 mg (Moventig)";"Comprimé";"A06AH03";"Laxatifs";"Antagonistes du récepteur opioïde périphérique";;"E";"RCP";;"E, V";"Non";"A prendre en dehors des repas, de préférence le matin. Peut être écrasé et mélangé dans ½ verre d'eau, à boire immédiatement. Rincer ensuite le verre avec ½ volume d'eau et le boire immédiatement.";;"20/07/2023";
"NALTREXONE 50 mg (Revia)";"Comprimé sécable";"N07BB04";"Médicaments des troubles de l'addiction";"Médicaments utilisés en cas de dépendance à l'alcool";;"NE";"Réponse laboratoire";;;"Non";;"Accord Healthcare 15-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"NAPROXENE 550 mg (Antalnox)";"Comprimé  sécable";"M01AE02";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";;"NE";"RCP";;;"Non";"A prendre pendant les repas.";"Pierre Fabre 21-02-2022 : écrasement déconseillé car pas d'étude.";"19/09/2023";
